datetime_utc,wind_speed_mph,wind_speed_100m_mph,wind_direction,wind_gust_mph,humidity,dhi_wm2,dni_wm2,diff_hi_wm2,cloud_cover_pct
2026-03-18 00:00:00+00:00,8.202517788724686,5.38752052545156,110.27914614121511,,56.07002408319649,-9999.0,,,59.297208538587846
2026-03-18 01:00:00+00:00,8.164750957854405,5.474548440065681,107.04707170224411,,58.20562835249042,-9999.0,,,59.268746579091406
2026-03-18 02:00:00+00:00,8.147783251231527,5.463054187192118,108.07060755336617,,59.6717925561029,-9999.0,,,57.62725779967159
2026-03-18 03:00:00+00:00,8.028461959496441,5.403940886699507,109.38423645320196,,60.93762506841817,-9999.0,,,53.71154898741106
2026-03-18 04:00:00+00:00,7.9584017515052,5.379310344827586,113.27586206896552,,62.338543513957305,-9999.0,,,50.3968253968254
2026-03-18 05:00:00+00:00,7.9009304871373836,5.340996168582375,117.55883962780514,,63.642383689107824,-9999.0,,,51.0311986863711
2026-03-18 06:00:00+00:00,7.89272030651341,5.282430213464696,117.18938149972632,,64.75712972085385,-9999.0,,,52.45374931581828
2026-03-18 07:00:00+00:00,7.863711001642036,5.23535851122058,118.56048166392993,,65.72758839627805,-9999.0,,,55.17296113847838
2026-03-18 08:00:00+00:00,7.9184455391351944,5.234263820470717,117.93650793650794,,66.60549589490968,-9999.0,,,56.19376026272578
2026-03-18 09:00:00+00:00,8.081007115489873,5.301587301587301,117.92008757525998,,67.38332348111658,-9999.0,,,56.45648604269294
2026-03-18 10:00:00+00:00,8.194307608100711,5.3399014778325125,116.3464696223317,,67.91626819923371,-9999.0,,,58.44389709906951
2026-03-18 11:00:00+00:00,8.230432402846196,5.330049261083744,119.16256157635468,,68.22725506294472,-9999.0,,,60.738368910782704
2026-03-18 12:00:00+00:00,8.254515599343186,5.320197044334975,123.13355227148331,,68.05517077175698,-9999.0,,,62.35303776683087
2026-03-18 13:00:00+00:00,8.412698412698413,5.1680350301039955,121.54898741105637,,63.70532129173509,-9999.0,,,61.34263820470717
2026-03-18 14:00:00+00:00,9.077175697865353,4.9655172413793105,119.17350848385331,,57.28013300492611,-9999.0,,,58.81226053639847
2026-03-18 15:00:00+00:00,9.39463601532567,4.970990695128626,121.65298303229338,,52.458551176792554,-9999.0,,,54.69458128078818
2026-03-18 16:00:00+00:00,9.463054187192117,4.933223864258347,124.42528735632185,,49.15514833059661,-9999.0,,,50.49480021893815
2026-03-18 17:00:00+00:00,9.406677613574166,4.896551724137931,128.05966064586755,,46.99044772851669,-9999.0,,,46.00711548987411
2026-03-18 18:00:00+00:00,9.239737274220033,4.778325123152709,132.95292829775588,,45.657417624521074,-9999.0,,,41.78927203065134
2026-03-18 19:00:00+00:00,9.011494252873563,4.686918445539135,141.8856048166393,,44.965569786535305,-9999.0,,,37.301587301587304
2026-03-18 20:00:00+00:00,8.816091954022989,4.617952928297756,156.39025725232622,,44.97438314176245,-9999.0,,,32.63875205254516
2026-03-18 21:00:00+00:00,8.682539682539682,4.61247947454844,170.3968253968254,,45.743789819376026,-9999.0,,,29.558839627805146
2026-03-18 22:00:00+00:00,8.365626710454297,4.597701149425287,173.99562123700053,,48.43288505747126,-9999.0,,,30.136836343732895
2026-03-18 23:00:00+00:00,7.472906403940887,4.449370552818829,159.49644225506293,,57.00277066228791,-9999.0,,,27.60536398467433
2026-03-19 00:00:00+00:00,7.413245758073344,4.59168035030104,147.33716475095787,,62.319826491516146,-9999.0,,,25.86261631089217
2026-03-19 01:00:00+00:00,7.431308155446087,4.647509578544061,136.90749863163657,,64.95985933223864,-9999.0,,,24.690749863163656
2026-03-19 02:00:00+00:00,7.431855500821018,4.661740558292283,134.9726327312534,,66.7068472906404,-9999.0,,,22.85112205801861
2026-03-19 03:00:00+00:00,7.279146141215107,4.626163108921729,136.36288998357963,,68.31022988505747,-9999.0,,,21.1871921182266
2026-03-19 04:00:00+00:00,7.157088122605364,4.544608648056924,134.6223316912972,,69.75155610290092,-9999.0,,,18.137931034482758
2026-03-19 05:00:00+00:00,7.083196496989601,4.485495347564313,135.79638752052546,,71.04964094143405,-9999.0,,,16.266009852216747
2026-03-19 06:00:00+00:00,7.022441160372195,4.471264367816092,136.41488779419814,,72.28180186097428,-9999.0,,,15.203065134099617
2026-03-19 07:00:00+00:00,7.005473453749316,4.486042692939245,137.55883962780516,,73.30281609195401,-9999.0,,,13.493705528188286
2026-03-19 08:00:00+00:00,6.979748221127531,4.484948002189381,140.19704433497537,,74.18359277504105,-9999.0,,,13.006568144499179
2026-03-19 09:00:00+00:00,6.985221674876847,4.513409961685824,141.5270935960591,,74.9181855500821,-9999.0,,,14.182813355227148
2026-03-19 10:00:00+00:00,6.999452654625069,4.480569239189929,141.35467980295567,,75.54498576902026,-9999.0,,,15.671045429666119
2026-03-19 11:00:00+00:00,7.118773946360153,4.541871921182266,142.92008757526,,75.99115325670498,-9999.0,,,17.781061850027367
2026-03-19 12:00:00+00:00,7.183908045977011,4.623426382047072,142.93377120963328,,75.92473836891078,-9999.0,,,18.929392446633827
2026-03-19 13:00:00+00:00,7.306513409961686,4.50519978106185,129.22824302134646,,69.86364148877942,-9999.0,,,20.321291735084838
