datetime_utc,wind_speed_mph,wind_speed_100m_mph,wind_direction,wind_gust_mph,humidity,dhi_wm2,dni_wm2,diff_hi_wm2,cloud_cover_pct,ISO
2026-03-18 00:00:00+00:00,5.579646017699115,2.616519174041298,221.5339233038348,,30.43712831858407,-9999.0,,,3.247787610619469,CAISO
2026-03-18 01:00:00+00:00,5.035398230088496,2.578171091445428,217.3377581120944,,37.0508598820059,-9999.0,,,2.71976401179941,CAISO
2026-03-18 02:00:00+00:00,4.3053097345132745,2.3156342182890857,206.74041297935102,,44.3065383480826,-9999.0,,,2.2094395280235988,CAISO
2026-03-18 03:00:00+00:00,4.28023598820059,2.017699115044248,193.61356932153393,,46.35101327433628,-9999.0,,,2.2109144542772863,CAISO
2026-03-18 04:00:00+00:00,4.256637168141593,1.8775811209439528,186.5560471976401,,46.70072713864307,-9999.0,,,1.971976401179941,CAISO
2026-03-18 05:00:00+00:00,4.28023598820059,1.794985250737463,187.1976401179941,,46.49678908554572,-9999.0,,,2.3628318584070795,CAISO
2026-03-18 06:00:00+00:00,4.320058997050148,1.7772861356932153,189.43952802359883,,46.12736873156342,-9999.0,,,2.5855457227138645,CAISO
2026-03-18 07:00:00+00:00,4.377581120943953,1.7507374631268438,188.8053097345133,,45.45563716814159,-9999.0,,,2.4808259587020647,CAISO
2026-03-18 08:00:00+00:00,4.348082595870206,1.71976401179941,188.00147492625368,,45.02848377581121,-9999.0,,,2.865781710914454,CAISO
2026-03-18 09:00:00+00:00,4.320058997050148,1.6873156342182891,185.7079646017699,,44.6385604719764,-9999.0,,,2.274336283185841,CAISO
2026-03-18 10:00:00+00:00,4.3053097345132745,1.668141592920354,188.9896755162242,,44.56108259587021,-9999.0,,,1.564896755162242,CAISO
2026-03-18 11:00:00+00:00,4.300884955752212,1.7227138643067847,185.6489675516224,,44.502019174041294,-9999.0,,,1.0176991150442478,CAISO
2026-03-18 12:00:00+00:00,4.348082595870206,1.724188790560472,177.07227138643069,,44.60133038348083,-9999.0,,,0.7109144542772862,CAISO
2026-03-18 13:00:00+00:00,4.330383480825959,1.7536873156342183,173.1047197640118,,44.72530088495575,-9999.0,,,0.7728613569321534,CAISO
2026-03-18 14:00:00+00:00,4.32448377581121,1.7300884955752212,173.91592920353983,,44.724138643067846,-9999.0,,,0.9174041297935103,CAISO
2026-03-18 15:00:00+00:00,4.117994100294985,1.6622418879056047,174.60176991150442,,44.09677286135693,-9999.0,,,1.168141592920354,CAISO
2026-03-18 16:00:00+00:00,3.2271386430678466,1.448377581120944,169.88938053097345,,38.9269778761062,-9999.0,,,0.9631268436578171,CAISO
2026-03-18 17:00:00+00:00,3.061946902654867,1.1976401179941003,181.74778761061947,,33.9821592920354,-9999.0,,,0.9233038348082596,CAISO
2026-03-18 18:00:00+00:00,3.449852507374631,1.2404129793510323,188.89380530973452,,30.990597345132745,-9999.0,,,0.8525073746312685,CAISO
2026-03-18 19:00:00+00:00,3.877581120943953,1.392330383480826,195.01474926253687,,28.82209144542773,-9999.0,,,0.6917404129793511,CAISO
2026-03-18 20:00:00+00:00,4.325958702064897,1.612094395280236,200.04424778761063,,27.24576253687316,-9999.0,,,0.5339233038348082,CAISO
2026-03-18 21:00:00+00:00,4.657817109144543,1.8023598820058997,210.44247787610618,,26.21662389380531,-9999.0,,,0.5014749262536873,CAISO
2026-03-18 22:00:00+00:00,4.926253687315635,2.0442477876106193,213.5103244837758,,25.883513274336284,-9999.0,,,0.9351032448377581,CAISO
2026-03-18 23:00:00+00:00,5.0294985250737465,2.1843657817109143,218.63569321533924,,26.263370206489675,-9999.0,,,1.5678466076696165,CAISO
2026-03-19 00:00:00+00:00,4.889380530973451,2.2271386430678466,221.5560471976401,,28.385623893805313,-9999.0,,,3.4852507374631267,CAISO
2026-03-19 01:00:00+00:00,4.393805309734513,2.202064896755162,218.96017699115043,,35.01664749262537,-9999.0,,,4.087020648967552,CAISO
2026-03-19 02:00:00+00:00,4.050147492625369,2.116519174041298,207.2787610619469,,41.59448672566372,-9999.0,,,2.9808259587020647,CAISO
2026-03-19 03:00:00+00:00,4.117994100294985,1.9690265486725664,194.38790560471978,,43.09499410029498,-9999.0,,,3.213864306784661,CAISO
2026-03-19 04:00:00+00:00,4.067846607669616,1.7994100294985251,191.46017699115043,,43.51791150442478,-9999.0,,,3.122418879056047,CAISO
2026-03-19 05:00:00+00:00,4.020648967551622,1.668141592920354,183.27433628318585,,43.66766814159292,-9999.0,,,3.3672566371681416,CAISO
2026-03-19 06:00:00+00:00,3.994100294985251,1.5766961651917404,182.20501474926255,,43.90845280235988,-9999.0,,,2.6091445427728615,CAISO
2026-03-19 07:00:00+00:00,3.93952802359882,1.5383480825958702,181.60029498525074,,44.079535398230085,-9999.0,,,3.943952802359882,CAISO
2026-03-19 08:00:00+00:00,3.859882005899705,1.4601769911504425,178.06047197640117,,44.26440412979351,-9999.0,,,3.420353982300885,CAISO
2026-03-19 09:00:00+00:00,3.8171091445427727,1.40117994100295,176.87315634218288,,44.53140707964602,-9999.0,,,2.4601769911504423,CAISO
2026-03-19 10:00:00+00:00,3.728613569321534,1.3466076696165192,177.35250737463127,,44.64628761061947,-9999.0,,,4.007374631268436,CAISO
2026-03-19 11:00:00+00:00,3.6991150442477876,1.2743362831858407,177.95722713864308,,44.70482743362832,-9999.0,,,5.287610619469026,CAISO
2026-03-19 12:00:00+00:00,3.674041297935103,1.2507374631268438,166.1873156342183,,44.701374631268436,-9999.0,,,6.122418879056047,CAISO
2026-03-19 13:00:00+00:00,3.6135693215339235,1.1784660766961652,164.2920353982301,,44.747802359882,-9999.0,,,4.277286135693215,CAISO
2026-03-19 14:00:00+00:00,3.5678466076696167,1.1504424778761062,162.71386430678467,,44.7577610619469,-9999.0,,,2.005899705014749,CAISO
2026-03-19 15:00:00+00:00,3.3451327433628317,1.131268436578171,161.48230088495575,,43.77625516224189,-9999.0,,,2.8466076696165192,CAISO
2026-03-19 16:00:00+00:00,2.4070796460176993,0.9174041297935103,159.76401179941004,,37.81460766961652,-9999.0,,,3.812684365781711,CAISO
2026-03-19 17:00:00+00:00,2.6533923303834808,0.8480825958702065,187.1976401179941,,33.29554424778761,-9999.0,,,6.079646017699115,CAISO
2026-03-19 18:00:00+00:00,3.454277286135693,1.1887905604719764,199.0339233038348,,30.47081120943953,-9999.0,,,6.18141592920354,CAISO
2026-03-19 19:00:00+00:00,4.262536873156342,1.603244837758112,204.04129793510324,,28.468449852507376,-9999.0,,,6.982300884955753,CAISO
2026-03-19 20:00:00+00:00,5.066371681415929,2.0825958702064895,205.9070796460177,,27.091796460176994,-9999.0,,,8.827433628318584,CAISO
2026-03-19 21:00:00+00:00,6.01622418879056,2.6253687315634218,210.8849557522124,,26.39238790560472,-9999.0,,,10.5,CAISO
2026-03-19 22:00:00+00:00,6.870206489675517,3.1799410029498527,212.3598820058997,,26.53057669616519,-9999.0,,,11.473451327433628,CAISO
2026-03-19 23:00:00+00:00,7.259587020648968,3.4852507374631267,222.2197640117994,,27.475901179941005,-9999.0,,,11.078171091445428,CAISO
2026-03-20 00:00:00+00:00,7.320058997050148,3.6519174041297937,226.63716814159292,,29.631980825958703,-9999.0,,,11.762536873156343,CAISO
